30
* node data key label x y available-power actual-power
 1 "substation" -2.294776119402986 14.227611840298508 -1 -1 
 2 "substation" 0.2575659993648326 -3.6387471745111846 -1 -1 
 3 "substation" 10.332603403422429 16.684271402662336 -1 -1 
 4 "substation" -10.795937503511995 2.245785851683455 -1 -1 
 5 "substation" 7.419776119402986 0.6884327358208964 -1 -1 
 6 "substation" 9.364123720635678 11.712301189962826 -1 -1 
 7 "substation" -7.802238805970148 0.38246258656716137 -1 -1 
 8 "substation" -5.277985074626866 -14.07462696567164 -1 -1 
 9 "substation" 4.988845741102659 -16.80893297894012 -1 -1 
 10 "substation" 6.578358208955223 -4.81902995074627 -1 -1 
 11 "substation" -12.344355991478519 -6.270916947474928 -1 -1 
 12 "substation" 1.5973976896728121 1.2798551322758938 -1 -1 
 13 "substation" 0.6119402985074629 -15.833955323880595 -1 -1 
 14 "substation" -4.8190298507462686 -2.677238905970153 -1 -1 
 15 "substation" -10.65186487040722 7.407739571844792 -1 -1 
 16 "substation" 1.1609525438842287 13.994975780326836 -1 -1 
 17 "powerplant" -4.150871877753073 17.06404336839193 7 7 
 18 "substation" 10.479477611940297 6.884328258208953 -1 -1 
 19 "substation" -2.1125099718168165 5.4286043205230134 -1 -1 
 20 "powerplant" 6.890570777176978 17.97877147052703 9 9 
 21 "substation" -6.731343283582088 -14.763059801492538 -1 -1 
 22 "substation" -0.46159903298105043 -6.964232087004781 -1 -1 
 23 "substation" -5.507462686567164 -11.320895622388061 -1 -1 
 24 "substation" -0.27888621408689485 -12.742531846525852 -1 -1 
 25 "substation" 4.360074626865671 -11.473880697014927 -2 -2 
 26 "substation" -12.095020604980581 -7.486870746165676 -1 -1 
 27 "substation" -6.272388059701493 -7.7257463686567185 -1 -1 
 28 "substation" 2.294776119402986 -9.102612040298506 -1 -1 
 29 "substation" -3.7481343283582085 -16.981343383582093 -1 -1 
 30 "powerplant" -5.201492537313431 -17.975746368656715 12 12 
* edge data key1 key2 capacity load
 3 20 1 2 
 3 6 1 0 
 7 18 1 2 
 11 21 1 3 
 10 27 1 0 
 23 26 1 0 
 6 16 1 0 
 3 5 1 0 
 1 5 1 0 
 18 19 1 0 
 6 18 1 0 
 5 19 1 0 
 27 28 1 0 
 3 16 1 0 
 8 24 1 1 
 25 27 1 1 
 7 28 1 0 
 17 19 1 4 
 29 30 1 5 
 1 20 1 1 
 8 23 1 0 
 2 18 1 0 
 17 20 1 0 
 3 19 1 0 
 13 24 1 0 
 13 14 1 0 
 6 20 1 1 
 21 26 1 0 
 19 21 1 1 
 2 19 1 4 
 8 29 1 3 
 26 30 1 2 
 11 26 1 0 
 11 30 1 7 
 25 28 1 0 
 10 28 1 0 
 2 14 1 0 
 9 10 1 0 
 14 23 1 0 
 12 21 1 0 
 15 21 1 1 
 12 18 1 0 
 22 24 1 0 
 2 7 1 2 
 15 16 1 4 
 9 24 1 3 
 12 19 1 0 
 5 16 1 0 
 2 24 1 2 
 23 24 1 2 
 2 22 1 1 
 14 26 1 1 
 8 14 1 0 
 14 24 1 1 
 23 29 1 1 
 4 11 1 0 
 2 12 1 0 
 1 16 1 1 
 1 6 1 0 
 3 18 1 2 
 21 22 1 0 
 15 17 1 2 
 11 15 1 4 
 1 19 1 0 
 9 28 1 1 
 10 25 1 0 
 1 18 1 1 
 7 22 1 0 
 26 29 1 0 
 12 15 1 1 
 4 15 1 1 
 13 23 1 0 
 16 20 1 4 
 7 25 1 2 
 16 19 1 0 
 14 21 1 0 
 3 17 1 1 
 5 20 1 1 
 1 3 1 0 
 16 17 1 0 
 9 25 1 1 
 5 6 1 0 
 8 13 1 1 
 7 10 1 1 
 11 14 1 1 
 15 19 1 0 
 2 21 1 2 
 5 18 1 0 
 6 12 1 0 
 4 19 1 0 
